id,content,prompt,A,B,C,D,E,answer
0,"Alimentos em conserva são frequentemente armazenados em latas metálicas seladas, fabricadas com um material chamado folha de flandres, que consiste de uma chapa de aço revestida com uma fina camada de estanho, metal brilhante e de difícil oxidação. É comum que a superfície interna seja ainda revestida por uma camada de verniz à base de epóxi, embora também existam latas sem esse revestimento, apresentando uma camada de estanho mais espessa. ",Comprar uma lata de conserva amassada no supermercado é desaconselhável porque o amassado pode,"alterar a pressão no interior da lata, promovendo a degradação acelerada do alimento.","romper a camada de estanho, permitindo a corrosão do ferro e alterações do alimento.","prejudicar o apelo visual da embalagem, apesar de não afetar as propriedades do alimento.","romper a camada de verniz, fazendo com que o metal tóxico estanho contamine o alimento.","desprender camadas de verniz, que se dissolverão no meio aquoso, contaminando o alimento.",B
1,"Talvez você já tenha bebido suco usando dois canudinhos iguais. Entretanto, pode-se verificar que, se colocar um canudo imerso no suco e outro do lado de fora do líquido, fazendo a sucção simultaneamente em ambos, você terá dificuldade em bebê-lo. ",Essa dificuldade ocorre porque o(a),força necessária para a sucção do ar e do suco simultaneamente dobra de valor,"densidade do ar é menor que a do suco, portanto, o volume de ar aspirado é muito maior que o volume de suco.","velocidade com que o suco sobe deve ser constante nos dois canudos, o que é impossível com um dos canudos de fora."," peso da coluna de suco é consideravelmente maior que o peso da coluna de ar, o que dificulta a sucção do líquido.",pressão no interior da boca assume praticamente o mesmo valor daquela que atua sobre o suco.,E
2,"A árvore filogenética representa uma hipótese evolutiva para a família Hominidae, na qual a sigla “m.a.” significa “milhões de anos atrás”. As ilustrações representam, da esquerda para a direita, o orangotango, o gorila, o ser humano, o chimpanzé e o bonobo.   ","Considerando a filogenia representada, a maior similaridade genética será encontrada entre os seres humanos e:",Gorila e bonobo.,Gorila e chimpanzé.,Gorila e orangotango.,Chimpanzé e bonobo.,Bonobo e orangotango.,D
3,"Devagar, devagarinho   Desacelerar é preciso. Acelerar não é  preciso. Afobados e voltados para o próprio umbigo, operamos, automatizados, falas robóticas e silêncios glaciais. Ilustra bem esse estado de espírito a música Sinal fechado (1969), de Paulinho de Viola. Trata-se da história de dois sujeitos que se encontram inesperadamente em um sinal de trânsito. A conversa entre ambos, porém, se deu rápida e rasteira. Logo, os personagens se despedem, com a promessa de se verem em outra oportunidade. Percebe-se um registro de comunicação vazia e superficial, cuja tônica foi o contato ligeiro e superficial construído pelos interlocutores: “Olá, como vai? / Estou indo, e você, tudo bem? / Tudo bem, eu vou indo correndo, / pegar meu lugar no futuro. E você? / Quanto tempo… / Pois é, quanto tempo… / Me perdoe a pressa / é a alma dos nossos negócios… / Oh! Não tem de quê. / Eu também só ando a cem”. O culto à velocidade, no contexto apresentado, se coloca como fruto de um imediatismo processual que celebra o alcance dos fins sem dimensionar a qualidade dos meios necessários para atingir determinado propósito. Tal conjuntura favorece a lei do menor esforço – a comodidade – e prejudica a lei do maior esforço – a dignidade. Como modelo alternativo à cultura fast, temos o movimento slow life, cujo propósito, resumidamente, é conscientizar as pessoas de que a pressa é inimiga da perfeição e do prazer, buscando assim reeducar seus sentidos para desfrutar melhor os sabores da vida. ","Nesse artigo de opinião, a apresentação da letras da canção Sinal Fechado é uma estratégia argumentativa que visa sensibilizar o leitor porque",adverte sobre os riscos que o ritmo acelerado da vida oferece.,exemplifica o fato criticado no texto com uma situação concreta.,contrapõe situações de aceleração e de serenidade na vida das pessoas.,questiona o clichê sobre a rapidez e a aceleração da vida moderna,apresenta soluções para a cultura da correria que as pessoas vivenciam hoje.,B
4,"If children live with criticism, they learn to condemn. If children live with fear, they learn to be apprehensive. If children live with pity, they learn to feel sorry for themselves. If children live with ridicule, they learn to feel shy. If children live with tolerance, they learn patience. If children live with praise, they learn appreciation. If children live with acceptance, they learn to love. If children live with approval, they learn to like themselves. If children live with recognition, they learn it is good to have a goal. If children live with sharing, they learn generosity. If children live with fairness, they learn justice. If children live with kindness and consideration, they learn respect. If children live with friendliness, they learn the world is a nice place in which to live. NOLTE, D. L. Disponível em: www.americanfamilytraditions.com. Acesso em: 30 jul. 2012. ","Valores culturais de um povo revelam sua forma de ser, agir e pensar. Na concepção da autora, as diferentes formas de educar crianças nos Estados Unidos confirmam que as crianças",temem quem as amedronta.,aprendem com o que vivem.,amam aqueles que as aceitam.,são gentis quando respeitadas.,ridicularizam quem as intimida.,B
5,"A Agência Nacional de Vigilância Sanitária (Anvisa) aprovou um produto de terapia gênica no país, indicado para o tratamento da distrofia hereditária da retina. O procedimento é recomendado para crianças acima de 12 meses e adultos com perda de visão causada pela mutação do gene humano RPE65. O produto, elaborado por engenharia genética, é composto por um vírus, no qual foi inserida uma cópia do gene normal humano RPE65 para corrigir o funcionamento das células da retina. ",O sucesso dessa terapia advém do fato de que o produto favorecerá a,correção do código genético para a tradução da proteína.,alteração do RNA ribossômico ligado à síntese da proteína.,produção de mutações benéficas para a correção do problema.,liberação imediata da proteína normal na região ocular humana.,expressão do gene responsável pela produção da enzima normal.,E
6,"Até quando? Não adianta olhar pro céu Com muita fé e pouca luta Levanta aí que você tem muito protesto pra fazer E muita greve, você pode, você deve, pode crer Não adianta olhar pro chão Virar a cara pra não ver Se liga aí que te botaram numa cruz e só porque Jesus Sofreu não quer dizer que você tenha que sofrer! ",As escolhas linguísticas feitas pelo autor conferem ao texto,"caráter atual, pelo uso de linguagem própria da internet.","cunho apelativo, pela predominância de imagens metafóricas.","tom de diálogo, pela recorrência de gírias.","espontaneidade, pelo uso da linguagem coloquial.","originalidade, pela concisão da linguagem.",D
7,"Galinha cega O dono correu atrás de sua branquinha, agarrou-a, lhe examinou os olhos. Estavam direitinhos, graças a Deus, e muito pretos. Soltou-a no terreiro e lhe atirou mais milho. A galinha continuou a bicar o chão desorientada. Atirou ainda mais, com paciência, até que ela se fartasse. Mas não conseguiu com o gasto de milho, de que as outras se aproveitaram, atinar com a origem daquela desorientação. Que é que seria aquilo, meu Deus do céu? Se fosse efeito de uma pedrada na cabeça e se soubesse quem havia mandado a pedra, algum moleque da vizinhança, aí… Nem por sombra imaginou que era a cegueira irremediável que principiava. Também a galinha, coitada, não compreendia nada, absolutamente nada daquilo. Por que não vinham mais os dias luminosos em que procurava a sombra das pitangueiras? Sentia ainda o calor do sol, mas tudo quase sempre tão escuro. Quase que já não sabia onde é que estava a luz, onde é que estava a sombra. ","Ao apresentar uma cena em que um menino atira milho às galinhas e observa com atenção uma delas, o narrador explora um recurso que conduz a uma expressividade fundamentada na","captura de elementos da vida rural, de feições peculiares.","caracterização de um quintal de sítio, espaço de descobertas.","confusão intencional da marcação do tempo, centrado na infância.","apropriação de diferentes pontos de vista, incorporados afetivamente.","fragmentação do conflito gerador, distendido como apoio à emotividade.",D
8,"Scared fit My body was telling me things I did not want to hear. In February 2010, my doctor confirmed what my body was telling me. My not feeling well was a result of years of neglecting my body and diet. At 62, I had developed high blood pressure, type 2 diabetes, and my cholesterol was going through the roof. At 4’ 10” and weighing 227 pounds, the problem was in the mirror looking back at me. My doctor said, “lose weight, start eating healthy, and start exercising if you want to live to a ripe old age”. Needless to say, I was  scared I wouldn’t see my grandkids and great-grandkids grow up.   ","No texto Scared fit, que relata a experiência de Amanda de la Paz relacionada aos cuidados com a saúde, a palavra scared faz referência ao seu medo de",emagrecer mais que o necessário.,encarar exercícios físicos pesados.,enfrentar sua aparência no espelho.,sofrer as consequências de seu descuido.,enfrentar uma dieta com restrição de doces.,D
9,"A marcha galopante das tecnologias teve por primeiro resultado multiplicar em enormes proporções tanto a massa das notícias que circulam quanto as ocasiões de sermos solicitados por elas. Os profissionais têm tendência a considerar esta inflação como automaticamente favorável ao público, pois dela tiram proveito e tornam-se obcecados pela imagem liberal do grande mercado em que cada um, dotado de luzes por definição iguais, pode fazer sua escolha em toda liberdade. Isso jamais foi realizado e tende a nunca ser. Na verdade, os leitores, ouvintes, telespectadores, mesmo se se abandonam a sua bulimia*, não são realmente nutridos por esta indigesta sopa de informações e sua busca finaliza em frustração. Cada vez mais frequentemente, até, eles ressentem esse bombardeio de riquezas falsas como agressivo e se refugiam na resistência a toda ou qualquer informação. O verdadeiro problema das sociedades pós-industriais não é a penúria**, mas a abundância. As sociedades modernas têm a sua disposição muito mais do que necessitam em objetos, informações e contatos. Ou, mais exatamente, disso resulta uma desarmonia entre uma oferta, não excessiva, mas incoerente, e uma demanda que, confusamente, exige uma escolha muito mais rápida a absorver. Por isso os órgãos de informação devem escolher, uma vez que o homem contemporâneo apressado, estressado, desorientado busca uma linha diretriz, uma classificação mais clara, um condensado do que é realmente importante. (*) fome excessiva, desejo descontrolado. (**) miséria, pobreza. ","Com o uso das novas tecnologias, os domínios midiáticos obtiveram um avanço maior e uma presença mais atuante junto ao público, marcada ora pela quase simultaneidade das informações, ora pelo uso abundante de imagens. A relação entre as necessidades da sociedade moderna e a oferta de informação, segundo o texto, é desarmônica, porque",o jornalista seleciona as informações mais importantes antes de publicá-las.,o ser humano precisa de muito mais conhecimento do que a tecnologia pode dar.,o problema da sociedade moderna é a abundância de informações e de liberdade de escolha.,a oferta é incoerente com o tempo que as pessoas têm para digerir a quantidade de informação disponível.,a utilização dos meios de informação acontece de maneira desorganizada e sem controle efetivo.,D
